Melt Temperature [°C],Mold Temperature [°C],Filling Time [sec],Packing Time [sec],Max. Injection Pressure Profile Value [%],Warpage_X-Displacement [mm] (Max)
195,45,0.8,3,70,0.314788
195,45,1,4,85,0.311267
195,45,1.2,5,100,0.314206
195,50,0.8,4,85,0.312332
195,50,1,5,100,0.309447
195,50,1.2,3,70,0.313603
195,55,0.8,5,100,0.306439
195,55,1,3,70,0.309718
195,55,1.2,4,85,0.310497
210,45,0.8,4,100,0.316843
210,45,1,5,70,0.315454
210,45,1.2,3,85,0.318838
210,50,0.8,5,70,0.3128
210,50,1,3,85,0.315404
210,50,1.2,4,100,0.317
210,55,0.8,3,85,0.311149
210,55,1,4,100,0.314299
210,55,1.2,5,70,0.31206
225,45,0.8,5,85,0.317438
225,45,1,3,100,0.319982
225,45,1.2,4,70,0.321209
225,50,0.8,3,100,0.316439
225,50,1,4,70,0.318491
225,50,1.2,5,85,0.315744
225,55,0.8,4,70,0.314821
225,55,1,5,85,0.315098
225,55,1.2,3,100,0.314798
225,55,1.2,5,85,0.316091
